Year,Trade Flow,Reporter,Partner,Commodity Code,Commodity,Qty Unit,Qty,Netweight (kg),Trade Value (US$)
2021,Import,South Africa,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,959906924,959906924,110611590
2021,Import,China,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,879522925,879522925,2403939514
2021,Export,Angola,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,66212,66212,60593
2021,Import,Germany,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,465657662,465657662,1129774354
2021,Export,Azerbaijan,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,6466,6466,43378
2021,Import,USA,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,424555708,424555708,1282514395
2021,Export,Argentina,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,2042506,2042506,4211229
2021,Import,Italy,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,352500115,352500115,809517947
2021,Export,Australia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,11356299,11356299,30523961
2021,Import,Poland,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,334923238,334923238,647630233
2021,Export,Austria,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,43200757,43200757,183678103
2021,Import,France,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,287382406,287382406,641123424
2021,Export,Armenia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,651,651,4397
2021,Import,India,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,278456743,278456743,618220347
2021,Import,Canada,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,267906175,267906175,692869835
2021,Export,Belgium,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,521364438,521364438,965004659
2021,Import,Netherlands,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,235399377,235399377,500583369
2021,Import,Turkey,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,222865429,222865429,420896699
2021,Export,Bolivia (Plurinational State of),World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,6782,6782,98534
2021,Import,Russian Federation,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,211088572,211088572,446789304
2021,Export,Bosnia Herzegovina,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,32724,32724,79684
2021,Import,Mexico,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,196415559,196415559,494816860
2021,Export,Botswana,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,200,2800,672
2021,Import,Belgium,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,178265552,178265552,348217344
2021,Export,Brazil,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",No Quantity,0,,72695907
2021,Import,Indonesia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,143629216,143629216,281930370
2021,Import,Viet Nam,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,138866019,138866019,344653939
2021,Export,Brunei Darussalam,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,11979,11979,21845
2021,Import,Sweden,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,130541711,130541711,236163726
2021,Export,Bulgaria,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,524254,524254,2020708
2021,Import,Thailand,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,129597635,129597635,284612191
2021,Import,Brazil,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,121987767,121987767,297696838
2021,Import,Czechia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,120896600,120896600,205379261
2021,Export,Belarus,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,2819096,2819096,7824100
2021,Import,Argentina,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,104398759,104398759,212560580
